trees     train-auc-mean  train-auc-std  test-auc-mean  test-auc-std
851        0.887803       0.000519       0.860178      0.003647
523        0.896539       0.000563       0.860108       0.00368
495        0.887364       0.000508       0.859957      0.003631
999        0.885223       0.000567       0.860093      0.003756
769         0.88518       0.000794       0.860231       0.00379
465        0.890315       0.000679       0.860137      0.003501
320        0.893218       0.000618       0.860371      0.003666
656        0.891414       0.000556       0.859879      0.003649
384        0.890298       0.000626       0.860099      0.003599
561        0.884514        0.00058       0.859857      0.003654
850        0.876769       0.000788       0.858144      0.003534
343        0.883772       0.000698       0.857638      0.003682
260        0.888584       0.000596       0.860057      0.003453
286        0.899615       0.000677        0.86014       0.00356
433        0.890572       0.000647       0.860154      0.003615
635        0.886273       0.000658        0.85989       0.00379
563        0.894158       0.000502       0.860302      0.003617
487        0.891608       0.000563       0.859983      0.003643
700        0.886027       0.000684       0.859754      0.003573
729        0.883733         0.0007       0.859671      0.003605
634        0.895935       0.000562       0.860339      0.003738
275        0.895369       0.000823       0.860066      0.003456
999        0.860704       0.000854       0.853739      0.003703
326        0.897873        0.00049       0.859911      0.003739
767        0.889582        0.00064       0.860502      0.003733
544        0.883305       0.000822       0.859938      0.003723
999        0.878275       0.000771       0.859956       0.00366
180        0.916797       0.000452       0.860469      0.003705
196        0.890188       0.000495       0.859594       0.00375
231        0.900489       0.000522       0.860004      0.003498
172        0.899547       0.000524       0.859604      0.003783
444        0.888373       0.000841       0.860157      0.003657
126        0.897449       0.000663       0.859916      0.003567
34        0.882633       0.000627       0.856395      0.003892
40        0.893749       0.000899       0.855765      0.003379
16        0.923766       0.002359       0.844848      0.004083
26        0.897443       0.000598       0.851628      0.003259
120        0.875029       0.000611       0.855259      0.003919
11        0.916434       0.001944       0.851678      0.003207
31        0.889561         0.0007       0.856054      0.003973
265         0.87994       0.000781       0.857684       0.00364
8        0.895995       0.000932       0.849975      0.003899
999        0.879414       0.000832       0.858192      0.003608
323        0.911629        0.00057       0.860736      0.003595
157        0.922547       0.000359       0.860244      0.003442
198        0.915005       0.000307       0.860454      0.003529
999        0.885299       0.000645       0.859825      0.003721
361        0.896454       0.000493       0.860262      0.003559
429        0.897712       0.000493       0.860506      0.003583
546        0.900787       0.000475       0.860199      0.003726
441        0.905658       0.000364        0.86059      0.003473
762        0.892482       0.000514       0.860366      0.003651
320        0.892668        0.00078       0.860281      0.003701
